"uid","Intervention","Intervention Provider","Target Population","Target Population Location","Discipline","Research Stage","Outcome Measures"
"medline-17691876","Experimental design","Researchers / Researcher Collaboration","Adults","Unspecified","Biomedical and health sciences","Conduct stage","Effect size estimation"
"medline-17698539","Experimental design","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Netherlands","Biomedical and health sciences","Conduct stage","Computational reproducibility"
"medline-17703457","Other quality checks / feedback","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Italy","Biomedical and health sciences","Conduct stage","Reporting quality"
"medline-17766268","Other quality checks / feedback","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Unspecified","Biomedical and health sciences","Conduct stage","Computational reproducibility"
"medline-17768194","CONSORT guidelines","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Unspecified","Biomedical and health sciences","Reporting stage","Reporting quality"
"medline-17803985","Other","Researchers / Researcher Collaboration","Public","Unspecified","Social sciences","Unspecified","Unspecified"
"medline-17854052","Statistical method","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Unspecified","Biomedical and health sciences","Planning and design stage","Computational reproducibility"
"medline-17910150","Other peer review process","Institution","Researchers / Researcher Collaboration","Unspecified","Biomedical and health sciences","Conduct stage; Reporting stage","Reporting quality"
"medline-17910767","Other quality checks / feedback","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Unspecified","Biomedical and health sciences","Conduct stage","Data quality checks / feedback"
"medline-17921496","Experimental design","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Unspecified","Natural sciences","Conduct stage","Effect size estimation"
"medline-17922168","Training community","Institution","Researchers / Researcher Collaboration","Germany","Biomedical and health sciences","Conduct stage","Effect size estimation; Reporting quality"
"medline-17952595","Other quality checks / feedback","Research support staff","Researchers / Researcher Collaboration","Unspecified","Biomedical and health sciences","Reporting stage","Reporting quality"
"medline-17961233","Other quality checks / feedback","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Unspecified","Biomedical and health sciences","Conduct stage","Computational reproducibility"
"medline-17974503","Other quality checks / feedback","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","France","Biomedical and health sciences","Conduct stage","Data availability and re-use; Reporting quality"
"medline-17981476","Other quality checks / feedback","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Unspecified","Biomedical and health sciences","Conduct stage","Reproducibility"
"medline-17990945","Experimental design","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","USA","Natural sciences; Biomedical and health sciences","Conduct stage","Data availability and re-use"
"medline-18032899","Other reporting guidelines, checklists, or standards","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Unspecified","Biomedical and health sciences","Reporting stage","Reporting quality"
"medline-18058165","Reporting quality checks / feedback","Publisher / journal","Researchers / Researcher Collaboration","North America; Europe","Biomedical and health sciences","Reporting stage","Reporting quality"
"medline-18059501","Other quality checks / feedback","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Unspecified","Biomedical and health sciences","Assessment","Reporting bias; Publication bias"
"medline-18175371","Other quality checks / feedback","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Unspecified","Biomedical and health sciences","Conduct stage","Computational reproducibility"
"medline-18181248","Statistical method","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Unspecified","Biomedical and health sciences","Conduct stage","Computational reproducibility"
"medline-18237622","CONSORT guidelines","Publisher / journal","Researchers / Researcher Collaboration","Unspecified","Biomedical and health sciences","Reporting stage","Reporting quality"
"medline-18270568","STRICTA guidelines; CONSORT guidelines","Publisher / journal","Researchers / Researcher Collaboration","Unspecified","Biomedical and health sciences","Reporting stage","Reporting quality"
"medline-18279480","CONSORT guidelines","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Unspecified","Biomedical and health sciences","Reporting stage","Reporting quality"
"medline-18284683","Other quality checks / feedback","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Unspecified","Biomedical and health sciences","Conduct stage","Computational reproducibility"
"medline-18286168","Trial registration","Publisher / journal; Organisation","Researchers / Researcher Collaboration","Canada","Biomedical and health sciences","Planning and design stage; Conduct stage; Reporting stage","Transparency of contributions; Reporting quality"
"medline-18289318","Experimental design","Researchers / Researcher Collaboration","Animals","Unspecified","Agricultural and veterinary sciences","Conduct stage","Effect size estimation; Reporting quality"
"medline-18298859","Online sharing platform","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Canada; USA","Biomedical and health sciences","Conduct stage; Reporting stage","Data availability and re-use; Materials availability and re-use"
"medline-18326866","Other quality checks / feedback","Organisation","Researchers / Researcher Collaboration","Unspecified","Biomedical and health sciences","Assessment","Computational reproducibility"
"medline-18334408","Statistical method","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Unspecified","Biomedical and health sciences","Conduct stage","Computational reproducibility"
"medline-18365006","Experimental design","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","India","Biomedical and health sciences","Conduct stage","Computational reproducibility"
"medline-18411576","Data sharing policy/guideline","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Europe","Biomedical and health sciences","Conduct stage","Data availability and re-use"
"medline-18424230","Statistical method","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Unspecified","Natural sciences","Conduct stage","Computational reproducibility"
"medline-18427945","Other reporting guidelines, checklists, or standards","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Global","Biomedical and health sciences","Conduct stage","Effect size estimation"
"medline-18430244","Statistical method","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Unspecified","Natural sciences; Biomedical and health sciences","Conduct stage","Computational reproducibility"
"medline-18435368","CONSORT guidelines","Publisher / journal","Researchers / Researcher Collaboration","Unspecified","Biomedical and health sciences","Reporting stage","Reporting quality"
"medline-18435861","CONSORT guidelines","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","China","Biomedical and health sciences","Reporting stage","Reporting quality"
"medline-18451047","Experimental design","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Unspecified","Natural sciences","Conduct stage","Data availability and re-use"
"medline-18466662","Other quality checks / feedback","Health department","Health department; Ambulatory clinics","Unspecified","Biomedical and health sciences","Reporting stage","Reporting quality"
"medline-18474340","Other quality checks / feedback","Institution","Researchers / Researcher Collaboration","Unspecified","Biomedical and health sciences","Conduct stage","Data quality checks / feedback"
"medline-18513418","Other reporting guidelines, checklists, or standards","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Unspecified","Biomedical and health sciences","Reporting stage","Reporting quality"
"medline-18535768","CONSORT guidelines","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Unspecified","Biomedical and health sciences","Reporting stage","Reporting quality"
"medline-18550803","Experimental design","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Unspecified","Natural sciences","Conduct stage","Computational reproducibility"
"medline-18566659","Statistical method","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Unspecified","Natural sciences","Conduct stage","Effect size estimation; Type-I error reduction; Type-II error reduction"
"medline-18570264","Experimental design","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Malawi","Biomedical and health sciences","Conduct stage","Effect size estimation"
"medline-18578872","Other quality checks / feedback","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","France","Biomedical and health sciences","Conduct stage","Computational reproducibility"
"medline-18579449","CONSORT guidelines","Publisher / journal","Researchers / Researcher Collaboration","China","Biomedical and health sciences","Reporting stage","Reporting quality"
"medline-18586726","Other quality checks / feedback","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Unspecified","Natural sciences; Biomedical and health sciences","Conduct stage","Reporting quality"
"medline-18650619","Reporting quality checks / feedback","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","North America; Europe","Biomedical and health sciences","Reporting stage","Reporting quality"
"medline-18652655","Other quality checks / feedback","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","United States","Biomedical and health sciences","Conduct stage","Data availability and re-use"
"medline-18693955","Other quality checks / feedback","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Unspecified","Biomedical and health sciences","Conduct stage","Data availability and re-use"
"medline-18710977","STARD guidelines","Publisher / journal","Researchers / Researcher Collaboration","Unspecified","Biomedical and health sciences","Reporting stage","Reporting quality"
"medline-18793455","Statistical method","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Unspecified","Natural sciences","Conduct stage","Computational reproducibility"
"medline-18810294","Experimental design","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Unspecified","Natural sciences","Conduct stage","Computational reproducibility"
"medline-18815652","Other reporting guidelines, checklists, or standards","Institution","Researchers / Researcher Collaboration","Canada","Biomedical and health sciences","Reporting stage","Reporting quality"
"medline-18826606","Other quality checks / feedback","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Unspecified","Biomedical and health sciences","Conduct stage","Computational reproducibility"
"medline-18827662","CONSORT guidelines","Unspecified","Researchers / Researcher Collaboration","Unspecified","Biomedical and health sciences","Reporting stage","Reporting quality"
"medline-18835402","Experimental design","Funder","Researchers / Researcher Collaboration","Europe","Biomedical and health sciences","Conduct stage","Effect size estimation"
"medline-18941523","CONSORT guidelines","Unspecified","Researchers / Researcher Collaboration","Africa; North America","Biomedical and health sciences","Reporting stage","Reporting quality"
"medline-18948050","Other reporting guidelines, checklists, or standards","Researchers / Researcher Collaboration","Patients","Unspecified","Biomedical and health sciences","Reporting stage","Effect size estimation; Reporting quality"
"medline-18950319","Experimental design","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Unspecified","Biomedical and health sciences","Conduct stage","Computational reproducibility"
"medline-19009020","Experimental design","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Unspecified","Natural sciences","Conduct stage","Computational reproducibility"
"medline-19032695","CONSORT guidelines","Publisher / journal","Researchers / Researcher Collaboration","Unspecified","Biomedical and health sciences","Reporting stage","Reporting quality; Type-I error reduction; Type-II error reduction"
"medline-19067261","Reporting quality checks / feedback","Unspecified","Researchers / Researcher Collaboration","Unspecified","Biomedical and health sciences","Reporting stage","Reporting quality"
"medline-19070681","CONSORT guidelines","Publisher / journal","Researchers / Researcher Collaboration","Unspecified","Biomedical and health sciences","Reporting stage","Reporting quality"
"medline-19147310","Other quality checks / feedback","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Unspecified","Natural sciences","Conduct stage","Computational reproducibility"
"medline-19164016","Other quality checks / feedback","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Unspecified","Biomedical and health sciences","Conduct stage","Transparency of contributions"
"medline-19174838","Data sharing policy/guideline","Publisher / journal","Researchers / Researcher Collaboration","Unspecified","Biomedical and health sciences","Reporting stage","Data availability and re-use; Computational reproducibility"
"medline-19176553","Statistical method","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Unspecified","Natural sciences","Conduct stage","Type-I error reduction; Type-II error reduction"
"medline-19224362","Experimental design","Researchers / Researcher Collaboration","Patients","Unspecified","Biomedical and health sciences","Conduct stage","Effect size estimation; Computational reproducibility"
"medline-19240528","Reporting quality checks / feedback","Unspecified","Researchers / Researcher Collaboration","North America; Europe","Biomedical and health sciences","Reporting stage","Reporting quality"
"medline-19260066","Other quality checks / feedback","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","United States","Biomedical and health sciences","Conduct stage","Computational reproducibility"
"medline-19290050","Statistical method","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Unspecified","Biomedical and health sciences","Conduct stage","Effect size estimation"
"medline-19320058","Other reporting guidelines, checklists, or standards","Institution","Researchers / Researcher Collaboration","Australia","Biomedical and health sciences","Reporting stage","Reporting quality"
"medline-19320912","CONSORT guidelines","Publisher / journal","Researchers / Researcher Collaboration","Unspecified","Biomedical and health sciences","Reporting stage","Reporting quality"
"medline-19328874","Experimental design","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Unspecified","Biomedical and health sciences","Conduct stage","Computational reproducibility"
"medline-19351414","Other quality checks / feedback","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Unspecified","Natural sciences; Biomedical and health sciences","Conduct stage","Data quality checks / feedback"
"medline-19351709","CONSORT guidelines","Publisher / journal","Researchers / Researcher Collaboration","Unspecified","Biomedical and health sciences","Reporting stage","Reporting quality"
"medline-19381341","Experimental design","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Unspecified","Biomedical and health sciences","Conduct stage","Data availability and re-use"
"medline-19448222","Reporting quality checks / feedback","Publisher / journal","Researchers / Researcher Collaboration","Unspecified","Biomedical and health sciences","Reporting stage","Reporting quality"
"medline-19458059","Other reporting guidelines, checklists, or standards","Institution","Researchers / Researcher Collaboration","Unspecified","Biomedical and health sciences","Reporting stage","Reporting quality"
"medline-19473502","CONSORT guidelines","Publisher / journal","Researchers / Researcher Collaboration","Europe","Biomedical and health sciences","Reporting stage","Reporting quality"
"medline-19480022","Experimental design","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Unspecified","Natural sciences","Conduct stage","Data availability and re-use"
"medline-19489222","Other quality checks / feedback","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Unspecified","Biomedical and health sciences","Conduct stage","Reporting quality"
"medline-19506793","Other quality checks / feedback","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","United States","Biomedical and health sciences","Conduct stage","Data quality checks / feedback"
"medline-19523596","CONSORT guidelines","Unspecified","Researchers / Researcher Collaboration","Unspecified","Biomedical and health sciences","Reporting stage","Reporting quality"
"medline-19534780","QUOROM guidelines","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Unspecified","Biomedical and health sciences","Reporting stage","Reporting quality"
"medline-19554136","CONSORT guidelines","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Unspecified","Biomedical and health sciences","Reporting stage","Reporting quality"
"medline-19580657","Experimental design","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Canada","Biomedical and health sciences","Conduct stage","Computational reproducibility"
"medline-19580665","Other peer review process","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Unspecified","Biomedical and health sciences","Conduct stage; Reporting stage","Effect size estimation; Reporting quality"
"medline-19594878","Statistical method","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Unspecified","Biomedical and health sciences","Conduct stage","Effect size estimation"
"medline-19630508","CONSORT guidelines","Publisher / journal","Researchers / Researcher Collaboration","Unspecified","Biomedical and health sciences; Agricultural and veterinary sciences","Reporting stage","Reporting quality"
"medline-19631757","Other quality checks / feedback","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Unspecified","Biomedical and health sciences","Conduct stage","Computational reproducibility"
"medline-19635403","Other reporting guidelines, checklists, or standards","Unspecified","Researchers / Researcher Collaboration","Unspecified","Biomedical and health sciences","Reporting stage","Reporting quality"
"medline-19638231","Other reporting guidelines, checklists, or standards","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","France","Biomedical and health sciences","Reporting stage","Reporting quality"
"medline-19669410","Other quality checks / feedback","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Unspecified","Biomedical and health sciences","Conduct stage","Computational reproducibility"
"medline-19681881","CONSORT guidelines","Publisher / journal","Researchers / Researcher Collaboration","Unspecified","Biomedical and health sciences","Reporting stage","Reporting quality"
"medline-19716266","Other quality checks / feedback","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Unspecified","Biomedical and health sciences","Reporting stage","Reporting quality"
"medline-19759199","Other quality checks / feedback","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Unspecified","Natural sciences","Conduct stage","Computational reproducibility"
"medline-19807221","Other reporting guidelines, checklists, or standards","Institution","Researchers / Researcher Collaboration","Unspecified","Biomedical and health sciences","Conduct stage","Reporting quality"
"medline-19807866","CONSORT guidelines","Publisher / journal","Researchers / Researcher Collaboration","Unspecified","Biomedical and health sciences; Agricultural and veterinary sciences","Reporting stage","Reporting quality"
"medline-19813198","Experimental design","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Unspecified","Biomedical and health sciences","Conduct stage","Computational reproducibility"
"medline-19825796","Other quality checks / feedback","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Unspecified","Natural sciences","Conduct stage","Effect size estimation; Computational reproducibility"
"medline-19826884","CONSORT guidelines","Publisher / journal","Researchers / Researcher Collaboration","Global","Biomedical and health sciences","Reporting stage","Reporting quality"
"medline-19830449","Other quality checks / feedback","Unspecified","Researchers / Researcher Collaboration","Netherlands","Biomedical and health sciences","Reporting stage","Reporting quality"
"medline-19841682","Experimental design","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Unspecified","Biomedical and health sciences","Conduct stage","Computational reproducibility"
"medline-19847795","Data sharing policy/guideline","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Global","Biomedical and health sciences","Conduct stage","Data availability and re-use"
"medline-19862743","Experimental design","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Africa","Biomedical and health sciences","Conduct stage","Computational reproducibility"
"medline-19887933","Transparency of funding","Unspecified","Researchers / Researcher Collaboration","Unspecified","Biomedical and health sciences","Reporting stage","Transparency of funding; Reporting quality"
"medline-19913122","Statistical method","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Unspecified","Biomedical and health sciences","Conduct stage","Type-I error reduction"
"medline-19930576","CONSORT guidelines","Unspecified","Researchers / Researcher Collaboration","Unspecified","Biomedical and health sciences","Reporting stage","Reporting quality"
"medline-19945675","Experimental design","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Unspecified","Natural sciences","Conduct stage","Effect size estimation"
"medline-19966314","CONSORT guidelines","Unspecified","Researchers / Researcher Collaboration","Unspecified","Biomedical and health sciences","Reporting stage","Reporting quality"
"medline-19966945","Experimental design","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Unspecified","Engineering and technology","Conduct stage","Effect size estimation; Computational reproducibility"
"medline-19996165","Experimental design","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Unspecified","Natural sciences","Conduct stage","Effect size estimation"
"medline-20003283","Statistical method","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Unspecified","Natural sciences; Biomedical and health sciences","Conduct stage","Effect size estimation"
"medline-20036486","Centralised sharing platform","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Unspecified","Biomedical and health sciences","Conduct stage; Reporting stage","Data availability and re-use"
"medline-20042185","Centralised sharing platform","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Global","Biomedical and health sciences","Conduct stage","Data availability and re-use"
"medline-20070652","REFLECT statement","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Unspecified","Agricultural and veterinary sciences","Reporting stage","Reporting quality"
"medline-20137069","Other reporting guidelines, checklists, or standards","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Unspecified","Biomedical and health sciences","Planning and design stage; Conduct stage; Reporting stage","Reporting quality"
"medline-20163706","Statistical method","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Unspecified","Biomedical and health sciences","Conduct stage","Computational reproducibility"
"medline-20190062","Other quality checks / feedback","Institution","Researchers / Researcher Collaboration","USA","Biomedical and health sciences","Assessment","Reporting quality"
"medline-20194152","Open science infrastructure","Institution","Researchers / Researcher Collaboration","United States","Biomedical and health sciences","Conduct stage; Reporting stage","Data availability and re-use; Reporting quality"
"medline-20200072","Standardized protocol","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Unspecified","Natural sciences","Conduct stage","Computational reproducibility"
"medline-20202731","Other quality checks / feedback","Institution","Researchers / Researcher Collaboration","Netherlands","Biomedical and health sciences","Conduct stage","Reporting quality"
"medline-20207490","CONSORT guidelines","Publisher / journal","Researchers / Researcher Collaboration","Unspecified","Biomedical and health sciences","Reporting stage","Reporting quality"
"medline-20226031","Experimental design","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Unspecified","Biomedical and health sciences","Conduct stage","Data quality"
"medline-20332511","CONSORT guidelines","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Unspecified","Biomedical and health sciences","Reporting stage","Reporting quality"
"medline-20352064","CONSORT guidelines","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Global","Biomedical and health sciences","Reporting stage","Reporting quality"
"medline-20377890","Other quality checks / feedback","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Unspecified","Natural sciences; Biomedical and health sciences","Conduct stage","Computational reproducibility"
"medline-20385727","Statistical method","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Unspecified","Natural sciences; Biomedical and health sciences","Conduct stage","Effect size estimation"
"medline-20400756","Statistical method","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Unspecified","Biomedical and health sciences","Conduct stage","Type-I error reduction; Type-II error reduction; Effect size estimation"
"medline-20403188","AGREE guidelines","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Canada","Biomedical and health sciences","Conduct stage","Learner satisfaction; Self-efficacy; Time-on-task"
"medline-20410466","Reporting quality checks / feedback","Publisher / journal","Researchers / Researcher Collaboration","Unspecified","Biomedical and health sciences","Reporting stage","Reporting quality"
"medline-20427305","Quality improvement strategy","Researchers / Researcher Collaboration","Patients","The Netherlands","Biomedical and health sciences","Conduct stage","Patient satisfaction"
"medline-20430576","Trial registration","Unspecified","Researchers / Researcher Collaboration","Unspecified","Biomedical and health sciences","Reporting stage","Reporting quality"
"medline-20442151","Data sharing policy/guideline","Institution","Researchers / Researcher Collaboration","Unspecified","Biomedical and health sciences","Conduct stage","Data availability and re-use; Data quality checks / feedback"
"medline-20483151","Reporting quality checks / feedback","Publisher / journal","Researchers / Researcher Collaboration","Unspecified","Biomedical and health sciences","Reporting stage","Reporting quality"
"medline-20487429","Other quality checks / feedback","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Africa; Europe","Biomedical and health sciences","Conduct stage","Computational reproducibility"
"medline-20488240","Experimental design","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Unspecified","Biomedical and health sciences","Conduct stage","Computational reproducibility"
"medline-20513779","AGREE guidelines","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Unspecified","Biomedical and health sciences","Reporting stage","Reporting quality"
"medline-20529932","Open science infrastructure","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Unspecified","Biomedical and health sciences","Conduct stage","Data availability and re-use"
"medline-20543892","Documentation system","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Unspecified","Biomedical and health sciences","Conduct stage","Data availability and re-use"
"medline-20545807","Other peer review process","Institution","Researchers / Researcher Collaboration","England","Biomedical and health sciences","Assessment","Data availability and re-use"
"medline-20546342","Other reporting guidelines, checklists, or standards","Unspecified","Researchers / Researcher Collaboration","Australia","Biomedical and health sciences","Reporting stage","Reporting quality"
"medline-20591161","Data sharing policy/guideline","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Unspecified","Natural sciences","Conduct stage; Reporting stage","Data availability and re-use; Computational reproducibility"
"medline-20605498","Other reporting guidelines, checklists, or standards","Institution","Researchers / Researcher Collaboration","Unspecified","Biomedical and health sciences","Reporting stage","Reporting quality"
"medline-20615900","Experimental design","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Unspecified","Natural sciences","Conduct stage","Effect size estimation; Computational reproducibility"
"medline-20654412","Experimental design","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Unspecified","Biomedical and health sciences","Conduct stage","Computational reproducibility"
"medline-20689853","CONSORT guidelines","Publisher / journal","Researchers / Researcher Collaboration","China","Biomedical and health sciences","Reporting stage","Reporting quality"
"medline-20817296","Other reporting guidelines, checklists, or standards","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Unspecified","Biomedical and health sciences","Conduct stage","Computational reproducibility"
"medline-20832971","Statistical method","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Unspecified","Biomedical and health sciences","Planning and design stage","Effect size estimation"
"medline-20851191","Open source software","Government","Researchers / Researcher Collaboration","United States","Biomedical and health sciences","Conduct stage","Computational reproducibility"
"medline-20869747","Other reporting guidelines, checklists, or standards","Government; Learned societies","Researchers / Researcher Collaboration","Norway","Biomedical and health sciences","Reporting stage","Reporting quality"
"medline-20874488","CONSORT guidelines","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Unspecified","Biomedical and health sciences","Reporting stage","Reporting quality"
"medline-20953418","CONSORT guidelines; STRICTA guidelines","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Global","Biomedical and health sciences","Reporting stage","Reporting quality"
"medline-20964636","Experimental design","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Unspecified","Natural sciences","Conduct stage","Computational reproducibility"
"medline-21037480","CONSORT guidelines","Publisher / journal","Researchers / Researcher Collaboration","Unspecified","Biomedical and health sciences","Reporting stage","Reporting quality"
"medline-21051996","Workflow standardisation","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Europe","Biomedical and health sciences","Conduct stage","Computational reproducibility"
"medline-21112079","CONSORT guidelines","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Global","Biomedical and health sciences","Reporting stage","Reporting quality"
"medline-21119403","Experimental design","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Unspecified","Biomedical and health sciences","Conduct stage","Computational reproducibility"
"medline-21139160","Other reporting guidelines, checklists, or standards","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Unspecified","Social sciences","Reporting stage","Effect size estimation"
"medline-21262390","Other quality checks / feedback","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Unspecified","Biomedical and health sciences","Conduct stage","Data availability and re-use"
"medline-21305027","Experimental design","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Germany; The Netherlands; Switzerland","Biomedical and health sciences","Conduct stage","Computational reproducibility"
"medline-21321290","CONSORT guidelines","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Unspecified","Biomedical and health sciences","Reporting stage","Reporting quality"
"medline-21323795","Workflow standardisation","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Global","Biomedical and health sciences","Conduct stage","Computational reproducibility"
"medline-21324182","Documentation system","Institution","Researchers / Researcher Collaboration","Germany","Biomedical and health sciences","Conduct stage; Reporting stage","Data availability and re-use; Reporting quality"
"medline-21346965","Other quality checks / feedback","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Unspecified","Biomedical and health sciences","Conduct stage","Data availability and re-use"
"medline-21347261","Experimental design","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Unspecified","Biomedical and health sciences","Conduct stage","Computational reproducibility"
"medline-21352553","Open science infrastructure","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Indonesia","Biomedical and health sciences","Conduct stage; Reporting stage","Data availability and re-use; Materials availability and re-use"
"medline-21386734","Other quality checks / feedback","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Unspecified","Biomedical and health sciences","Conduct stage","Computational reproducibility"
"medline-21406113","Drug intervention","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Africa","Biomedical and health sciences","Conduct stage","Reporting quality"
"medline-21415434","Reporting quality checks / feedback","Institution","Researchers / Researcher Collaboration","Unspecified","Biomedical and health sciences","Reporting stage","Reporting quality"
"medline-21426545","QUADAS checklist","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Global","Biomedical and health sciences","Reporting stage","Reporting quality"
"medline-21429185","STARD guidelines","Unspecified","Researchers / Researcher Collaboration","Unspecified","Biomedical and health sciences","Reporting stage","Reporting quality"
"medline-21478196","Other quality checks / feedback","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Unspecified","Biomedical and health sciences","Conduct stage","Data quality checks / feedback"
"medline-21484364","CONSORT guidelines","Publisher / journal","Researchers / Researcher Collaboration","Unspecified","Biomedical and health sciences","Reporting stage","Reporting quality"
