"uid","Target Population","Intervention Provider","Discipline","Intervention","Outcome Measures","Research Stage","Target Population Location"
"embase-2020606055","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"embase-2020807608","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"embase-2020838994","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"embase-2020869947","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"embase-2020981181","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"embase-2020990549","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"embase-2021007038","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"embase-2021058295","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"embase-2021073172","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"embase-2021221090","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"embase-2021221115","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"embase-2021252224","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"embase-2021275258","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"embase-2021282323","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"embase-2021307531","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"embase-2021634077","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"embase-2021644583","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"embase-2021644584","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"embase-2021753632","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"embase-2021754754","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"embase-2021777091","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"embase-2021812996","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"embase-2021902770","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"embase-2021934537","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"embase-2021946408","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"embase-2021953773","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"embase-2021959152","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"embase-2022013276","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"embase-2022053145","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"embase-2022152925","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"embase-2022186418","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"embase-2022192527","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"embase-2022207592","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"embase-2022275182","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"embase-2022275198","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"embase-2022347787","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"embase-2022348735","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"embase-2022538508","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"embase-2022580816","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"embase-2022596690","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"embase-2022618411","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"embase-2022646519","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"embase-2022751367","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"embase-2022956868","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"embase-2023116117","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"embase-2023147994","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"embase-2023252043","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"embase-2023270927","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"embase-2023349717","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"embase-2023381520","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"embase-2023386954","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"embase-2023499082","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"embase-2023499274","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"embase-2023626252","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"embase-2023671642","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"embase-2024006808","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"embase-2024072676","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"embase-2024134972","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"embase-2024183234","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"embase-2024191536","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"embase-2024317656","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"embase-2024425194","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"embase-2024583721","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"embase-2024587661","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"embase-2024603068","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"embase-2024704459","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"embase-2024739389","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"embase-2024881598","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"embase-2025086336","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"embase-2025148732","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"embase-2025175093","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"embase-2025261849","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"embase-2025278725","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"embase-2025408818","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"embase-2025446918","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"embase-2025574950","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"embase-2025841537","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"embase-2025899684","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"embase-2025966362","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"embase-2026017955","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"embase-2026095171","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"embase-2026288320","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"embase-2026404685","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"embase-2026455833","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"embase-2026511900","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"embase-2026535384","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"embase-2026554048","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"embase-2026608770","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"embase-2026624405","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"embase-2026712590","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"embase-2026779352","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"embase-2026780034","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"embase-2026824806","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"embase-2026868790","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"embase-2026993526","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"embase-2027021506","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"embase-2027021602","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"embase-2027022690","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"embase-2027126179","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"embase-2027238656","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"embase-2027565769","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"embase-2027812933","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"embase-2027895281","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"embase-2027963133","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"embase-2027980768","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"embase-2028031396","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"embase-2028074027","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"embase-2028083246","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"embase-2028284652","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"embase-2028340825","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"embase-2028361072","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"embase-2028536174","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"embase-2028856528","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"embase-20887057","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"embase-22974467","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"embase-24019883","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"embase-24370412","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"embase-24891199","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"embase-25000709","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"embase-25348509","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"embase-26182432","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"embase-27198091","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"embase-27423602","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"embase-28044368","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"embase-28439366","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"embase-28488508","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"embase-29247114","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"embase-29455711","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"embase-30032210","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"embase-30196837","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"embase-30417075","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"embase-31273953","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"embase-31297270","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"embase-31343922","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"embase-32047814","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"embase-32242747","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"embase-32373928","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"embase-32976250","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"embase-34195700","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"embase-34651210","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"embase-34755808","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"embase-34790889","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"embase-34839944","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"embase-350035454","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"embase-350081004","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"embase-350207319","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"embase-350213578","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"embase-350286524","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"embase-351022972","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"embase-351063781","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"embase-351756821","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"embase-351760977","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"embase-351815195","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"embase-352252559","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"embase-352259403","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"embase-352612426","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"embase-35316099","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"embase-354044181","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"embase-354198571","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"embase-354259789","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"embase-354349327","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"embase-354655046","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"embase-355132705","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"embase-355184271","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"embase-355234890","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"embase-358099871","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"embase-358138955","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"embase-358436172","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"embase-358566338","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"embase-359049037","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"embase-359452436","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"embase-360045725","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"embase-360078710","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"embase-360084492","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"embase-360108522","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"embase-36078546","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"embase-361089794","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"embase-361218226","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"embase-361593517","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"embase-361594567","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"embase-361764533","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"embase-361822327","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"embase-362030802","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"embase-362044228","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"embase-362047101","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"embase-362067855","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"embase-362161650","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"embase-362295894","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"embase-362436488","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"embase-362831532","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"embase-362869098","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"embase-36287193","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"embase-36287841","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"embase-362981609","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"embase-36322147","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"embase-364271609","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"embase-364282401","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"embase-364405053","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"embase-364405056","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"embase-364405057","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"embase-365063817","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"embase-365121739","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"embase-365404196","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"embase-365526785","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"embase-365552794","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"embase-365693458","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"embase-365742007","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"embase-365908358","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"embase-365958943","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"embase-366176704","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"embase-36636908","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"embase-36701359","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"embase-368081996","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"embase-368230423","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"embase-368517623","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"embase-368663504","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"embase-368664384","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"embase-368727207","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"embase-368853710","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"embase-36889979","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"embase-36898268","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"embase-368997394","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"embase-369276098","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"embase-369437866","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"embase-369482897","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"embase-369559895","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"embase-369581817","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"embase-369632541","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"embase-369640516","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"embase-369807956","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"embase-369815718","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"embase-369919322","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"embase-370514046","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"embase-372497995","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"embase-372736638","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"embase-37281758","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"embase-373357954","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"embase-373923138","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"embase-38765444","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"embase-38915173","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"embase-38997378","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"embase-39137224","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"embase-39329688","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"embase-39481890","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"embase-39497091","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"embase-39654347","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"embase-40522560","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"embase-40655381","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"embase-43407486","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"embase-43639139","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"embase-43666450","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"embase-43913326","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"embase-43937547","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"embase-44274023","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"embase-44341593","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"embase-44542154","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"embase-46190553","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"embase-46391328","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"embase-46866986","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"embase-46867530","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"embase-47157297","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"embase-47194191","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"embase-47194581","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"embase-47236919","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"embase-47293651","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"embase-47445382","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"embase-47495500","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"embase-47629174","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"embase-50051117","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"embase-50194292","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"embase-50233911","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"embase-50333032","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"embase-50396723","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"embase-50587838","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"embase-50729391","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"embase-50739722","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"embase-50773381","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"embase-50844482","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"embase-51029402","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"embase-51168784","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"embase-51235231","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"embase-51290647","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"embase-51317723","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"embase-51395284","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"embase-51428128","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"embase-51506788","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"embase-51585388","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"embase-51629555","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"embase-51649123","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"embase-51668480","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"embase-51686726","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"embase-51722262","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"embase-51875888","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"embase-51899025","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"embase-51930873","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"embase-51933265","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"embase-51945076","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"embase-52082694","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"embase-52131480","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"embase-52147596","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"embase-52217875","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"embase-52310341","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"embase-52391826","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"embase-52526882","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"embase-52699881","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"embase-52718585","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"embase-52721082","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"embase-52765099","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"embase-52775936","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"embase-52879984","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"embase-52919605","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"embase-52948227","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"embase-52958100","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"embase-52970732","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
